#    Location Patron Type        Item Type           Age Range Rule Number Active
466 kngsu    2,7                8,64,81                       4           Y
467 kngrs    2,7                8,64,81                       4           Y
468 mdrs     2,7                8,64,81                       4           Y
469 murs     2,7                8                             4           Y
470 hars     2,7                8,64,81                       4           Y
471 haeq     2,7                8,64,81                       122         Y
472 hags     2,7                8,64,81                       4           Y
473 haeq     0,1,3-13           36,43,45,46,48,53,5           122         Y
                                4,55,56,67,73,,74,8                       
                                1,83,84                                   
474 imvc     5,13               999                           47          Y
475 aags     0,1,3-5,8-14,19    8                             3           Y
476 scf*     1                  0                             13          Y
477 mdcmp    0,1,3-5,8,14       34,63                         5           Y
478 mdcmp    2,7                34,63                         6           Y
479 mueq     0,1,3-5,8,14       9,53                          118         Y
480 mueq     2,7                9,53                          100         Y
481 mdeq     0,1,3-5,8,14       55,69                         5           Y
482 mdeq     2,7                55,69                         6           Y
483 kngeq    2,7                78                            96          Y
484 kngeq    0,1,3-5,8-14       78                            95          Y
485 mdgs     2,7                8,9,64,81                     4           Y
486 mdgs     0,1,3,4,12,14,19   6,9,64,81                     3           Y

                                     Page 9
487 kngfo    2                  26                            92          Y
488 kngfo    2                  26                            92          Y
489 mursp    2,7                0,2,3                         32          Y
490 aars     2,7                7                             2           N
491 aars     0,1,3-6,8-14       7                             1           N
492 mursp    0,1,3,12,13,14     0,2,3                         31          N
493 murs     0,1,3-13           10                            7           Y
494 murs     2,7                10                            8           Y
495 kngcm    2,7                999                           96          N
496 kngcm    0-1,2-6,8-14       999                           95          Y
497 kngsu    0-14               54                            89          Y
498 kngeq    0-14               76                            1           Y
499 sccmp    2,7                34                            54          Y
500 sccmp    0,1,3-5,8-14,19    34                            49          Y
501 murcd    2,7                0,2,3,39                      18          Y
502 murcd    0,1,2,3,7,12,13,14 1,39                          44          Y
             ,39                                                          
503 mursp    0,1,2,3,7,12,13,14 1,39                          44          Y
             ,22                                                          
504 sceq     0,1,3-5,8-14,19    34                            49          Y
505 sceq     2,7                34                            54          Y
506 sccmp    0,1,2,3-5,7,8-14,1 4,68-71,80                    49          Y
             9                                                            
507 sceq     0,1,2,3-5,7,8-14,1 63                            118         Y
             9                                                            
508 aaml     2,7                38                            28          Y
509 aaml     0-1,3-6,8-14       38                            27          Y
510 aaeq     0-14               63                            117         N
511 knggs    0-14               63                            109         Y
512 md?      0,1,14             6,7                           1           Y
513 md?      2,7                6,7                           2           Y
514 imell    0,1,3,4,12,14      2,22                          9           Y
515 imell    2,7                2,22                          10          Y
516 hanb     200-206,210-217,22 50,51,52,53                   44          Y
             0-235                                                        
517 sceq     0,1,3-6,8-14       91                            106         Y
518 hacmp    0-14               54                            124         Y
519 sccmp    0,1,3-6,7-14       63                            123         Y
520 sccmp    2,7                63                            118         Y
521 sceq     0-14               69                            106         Y
