,Code,Branch Name,Public
31,7 scfo,"BEST Library, Folio, Basement",FALSE
31,8 scfor,"BEST Library, Folio Ref, Basement",FALSE
31,9 scgs,"BEST Library, Reserves, Information Desk (group study)",FALSE
32,0 schsm,"Hughes Storage, BEST Circulating",FALSE
32,1 sckey,BEST Keys (Internal Use Only),FALSE
32,2 sckuc,Spec Kuchler Collection Map Cases,FALSE
32,3 sckur,Spec Kuchler Collection Oversize,FALSE
32,4 scl,BEST,TRUE
32,5 scli,"BEST Library, Basement",FALSE
32,6 sclit,"Hughes Storage, Thesis",FALSE
32,7 scmp,"BEST Library, Maps",FALSE
32,8 scmpc,"BEST Library, Basement, Map Cabinets",FALSE
32,9 scmpv,"BEST Library, Basement, Map Cases",FALSE
33,0 scov,"BEST Library, Oversize, Basement",FALSE
33,1 scper,"BEST Library, Periodicals, First Floor",FALSE
33,2 scr,"BEST Library, Reference, Basement",FALSE
33,3 scrr,Science Ready Reference,FALSE
33,4 scrs,"BEST Library, Reserves, Information Desk",FALSE
33,5 scsup,"BEST Library, Reserves (Supplies)",FALSE
33,6 sh4ug,Shawnee State Univ,FALSE
33,7 si3tg,Sinclair CC,FALSE
33,8 sl4gg,State Library of Ohio,FALSE
33,9 sm2ug,Saint Mary Seminary...,FALSE
,,,
,,Page 6,
34,0 so3tg,Southern State CC,FALSE
34,1 spcfo,Spec Coll folio,FALSE
34,2 spe,SPEC,TRUE
34,3 spe18,Spec 1841 Coll.,FALSE
34,4 spec,Spec Special Collection,FALSE
34,5 spece,Spec Eridelphian Society,FALSE
34,6 speck,Spec King Collection,FALSE
34,7 speco,Spec Covington Coll,FALSE
34,8 specp,Spec Coll Periodical,FALSE
34,9 specr,Spec Coll Reserves,FALSE
35,0 specs,Spec Schoolbooks Coll,FALSE
35,1 specv,Spec Coll Closed Stks,FALSE
35,2 spedf,Spec Defoe Collection,FALSE
35,3 spefc,Spec Microfiche,FALSE
35,4 spefm,Spec Microfilm,FALSE
35,5 spegr,Spec German Collection,FALSE
35,6 spemg,Spec McGuffey Coll,FALSE
35,7 spemy,Spec Myaamia Coll,FALSE
35,8 spevf,Spec Coll Closed Stks folio,FALSE
35,9 spkcb,Spec Kuchler Collection Bookshelf,FALSE
36,0 spkfo,Spec King Coll folio,FALSE
36,1 spmss,Spec Coll MSS,FALSE
36,2 swdep,SW Depository,TRUE
36,3 te1tg,Terra CC,FALSE
36,4 test,Generic test location,FALSE
36,5 ti1ug,Tiffin University,FALSE
36,6 tl1pl,~Toledo PL,FALSE
36,7 tl4sg,Trinity Lutheran Seminary,FALSE
36,8 to1ug,Univ of Toledo,FALSE
36,9 ua4hs,Upper Arlington High School,FALSE
37,0 ur2bg,Ursuline College,FALSE
37,1 ur3ug,Urbana University,FALSE
37,2 wa2pl,~Wadsworth Public Library,FALSE
37,3 wa2ug,Walsh University,FALSE
37,4 wa4tg,Washington CC,FALSE
37,5 wb3ug,Wilberforce University,FALSE
37,6 we4pl,Westerville Public Library,FALSE
37,7 wesar,Spec Archives - Western,FALSE
37,8 wl3bg,Wilmington College,FALSE
37,9 wo2bg,The College of Wooster,FALSE
38,0 ws3ug,Wright State U.,FALSE
38,1 wt2pl,~Warren-Trumbull,FALSE
38,2 wt3ug,Wittenberg University,FALSE
38,3 xa3ug,Xavier University,FALSE
38,4 xcetc,CETC Library,FALSE
38,5 xconi,Confucius Institute 126 McGuffey,FALSE
38,6 xhrbl,Herbarium - Upham,FALSE
38,7 xslol,"Student Leadership, Hannah House 9-2961",FALSE
38,8 xwocl,Women's Center,FALSE
38,9 xxxxx,xxx,FALSE
39,0 y0201,"U of Akron, Bierce",FALSE
39,1 y0202,"BGSU, Jerome Lib",FALSE
39,2 y0203,"CWRU, Kelvin",FALSE
39,3 y0204,Central State Univ,FALSE
39,4 y0205,U of Cin - Langsam,FALSE
39,5 y0206,Cleveland State Univ,FALSE
39,6 y0207,U of Dayton - Roesch,FALSE
39,7 y0208,Kent - Main Circ Dsk,FALSE
,,,
,,Page 7,
39,8 y0209,MCO R.H. Mulford Lib,FALSE
39,9 y0210,Miami U - King Lib,FALSE
40,0 y0211,NEOUCOM,FALSE
40,1 y0212,OSU - Main Library,FALSE
40,2 y0213,OU Alden Library,FALSE
40,3 y0214,SSU Clark Mem Lib,FALSE
40,4 y0215,SLO Main Library,FALSE
40,5 y0216,U of Toledo - Carlson,FALSE
